Line No.,Program Name,ICS Code,Part Name,No. Points,P.No,Position,Feeder No.,Feeder Type,Machine No.
M.23,30AA_S17131B_T_M16_RANK_E.ygx,4497947000,RK73H1ERTTP2001F,12,1,R21/R21/R21/R21/R21/R21/R21/R21/R21/R21/R21/R21,34,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,3893950500,RK73H1ERTTP3001F,12,3,R22/R22/R22/R22/R22/R22/R22/R22/R22/R22/R22/R22,113,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,7180073300,RK73H1ERTTP4701F,24,4,R24/R5/R24/R24/R24/R5/R5/R5/R5/R5/R24/R24/R5/R24/R24/R24/R5/R24/R5/R5/R24/R5/R5/R24,123,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,6027685400,RK73H1ERTTP1002F,24,5,R2/R6/R2/R6/R6/R6/R2/R6/R6/R6/R2/R6/R2/R2/R2/R6/R6/R2/R2/R2/R6/R2/R6/R2,36,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,0031110300,CXQ18TR068F,12,6,R3/R3/R3/R3/R3/R3/R3/R3/R3/R3/R3/R3,117,8mmTape,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,1214462800,RK73H1ERTTP2701F,12,7,R12/R12/R12/R12/R12/R12/R12/R12/R12/R12/R12/R12,129,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,6534363000,RK73H1ERTTP6201F,12,8,R23/R23/R23/R23/R23/R23/R23/R23/R23/R23/R23/R23,112,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,4687177400,RK73B1ERTTP101J,12,9,R16/R16/R16/R16/R16/R16/R16/R16/R16/R16/R16/R16,124,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,0185301500,RK73B1ERTTP913J,12,10,R7/R7/R7/R7/R7/R7/R7/R7/R7/R7/R7/R7,35,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,6988367200,RK73H1ERTTP1802F,12,11,R11/R11/R11/R11/R11/R11/R11/R11/R11/R11/R11/R11,111,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,9667254300,RK73H1ERTTP3602F,12,12,R20/R20/R20/R20/R20/R20/R20/R20/R20/R20/R20/R20,55,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,5440758000,RK73H1ERTTP2402F,24,13,R19/R19/R19/R18/R19/R18/R19/R18/R18/R19/R19/R19/R18/R18/R19/R18/R18/R18/R18/R19/R19/R18/R19/R18,122,8mm1005cmp,No.1
M.23,30AA_S17131B_T_M16_RANK_E.ygx,4528353400,UMK107C7224KAHTE,24,14,C34/C34/C20/C20/C34/C20/C34/C34/C20/C34/C34/C34/C20/C34/C20/C20/C34/C20/C34/C20/C20/C20/C34/C20,160,8mmTape,No.1
